STATE,YEAR,GenTotal,GenHydro,GenSolar,GenTotalRenewable,GenSolarBinary,GenTotalRenewableBinary,AllSourcesCO2,AllSourcesSO2,AllSourcesNOx,EPriceResidential,EPriceCommercial,EPriceIndustrial,EPriceTransportation,EPriceTotal,EsalesResidential,EsalesCommercial,EsalesIndustrial,EsalesTransportation,EsalesOther,EsalesTotal,CumlFinancial,CumlRegulatory,Total.salary,presidential.results,Import
AL,2001,28.08323559,0.066666995,0,0.066803474,0,0,17.6548652,0.103612696,0.038415152,7.01,6.53,3.79,0,5.6,0.350337919,0.237758987,0.402593061,0,0.009310033,17.78000436,1,0,13.17541515,0,0
AL,2002,29.72644518,0.066391382,0,0.066529818,0,1,18.10092068,0.099969093,0.036802504,7.12,6.63,3.82,0,5.71,0.361415903,0.236746717,0.392638585,0,0.009198795,18.57716291,1,0,13.52314266,0,0
AL,2003,30.62160781,0.092116684,0,0.092291064,0,0,18.10416479,0.100947109,0.033922986,7.39,6.85,3.98,0,5.88,0.350846105,0.243435183,0.405718713,0,0,18.67406138,1,0,13.97667931,0,0
AL,2004,30.45163314,0.077363319,0,0.077529873,0,0,18.0304304,0.090630756,0.030225549,7.62,7.12,4.15,0,6.08,0.346597618,0.243651635,0.409750746,0,0,19.25924491,1,0,14.73650549,0,0
AL,2005,30.36567316,0.073538857,0,0.073657844,0,0,18.67799684,0.100288537,0.028879494,8,7.5,4.52,0,6.46,0.351059768,0.242235006,0.406705226,0,NA,19.63533962,2,0,15.57572003,0,0
AL,2006,30.66336671,0.051469274,0,0.051607333,0,0,18.74975924,0.099567543,0.026610962,8.75,8.18,4.9,0,7.07,0.355953942,0.243940177,0.400105881,0,NA,19.73437462,8,1,16.56461433,0,0
AL,2007,31.03675349,0.028757709,0,0.028874085,0,1,19.0755376,0.096861868,0.02608618,9.32,8.7,5.27,0,7.57,0.357007431,0.249079011,0.393913558,0,NA,19.81597229,8,1,17.34565585,0,0
AL,2008,31.20953343,0.042065897,0,0.042296911,0,1,17.78699858,0.077861498,0.023692047,10.4,9.87,6.11,0,8.59,0.358772893,0.251184968,0.390042139,0,NA,19.19328401,8,2,17.76749305,0,0
AL,2009,30.43137073,0.087503573,0,0.087604665,0,0,14.70817522,0.060522409,0.011170907,10.66,10.05,5.96,0,8.83,0.380102146,0.2645734,0.355324454,0,NA,17.59844342,11,2,17.14553666,0,0
AL,2010,32.16946687,0.057208181,0,0.057283981,0,0,16.78235436,0.046071638,0.013994675,10.67,10.18,6.01,0,8.89,0.391021987,0.252950682,0.356027331,0,NA,19.2112587,15,2,17.37416492,0,0
AL,2011,32.55917129,0.056822585,0,0.056885896,0,0,15.91385459,0.040710832,0.013477741,11.09,10.47,6.25,0,9.1,0.370837442,0.250093092,0.379069466,0,NA,18.534157,15,2,17.74895614,0,0
AL,2012,31.73413508,0.048634791,0,0.04868574,0,1,14.34496721,0.030693408,0.010632521,11.4,10.63,6.22,0,9.18,0.355434618,0.252941941,0.391623441,0,NA,17.88953487,16,2,18.25886303,0,0
AL,2013,31.14874816,0.085667314,0,0.085808043,1,1,NA,NA,NA,11.26,10.51,5.95,0,9.02,0.357175941,0.257287273,0.385536786,0,NA,18.17380631,16,2,18.5277337,0,0
AR,2000,16.38307765,0.054027159,0,0.054197071,0,0,10.85230171,0.031488939,0.021392659,7.45,5.93,4.2,0,5.77,0.357374488,0.210195729,0.414989233,0,0.01744055,15.53749111,0,0,11.88541642,0,0
AR,2001,17.53866311,0.05399746,0,0.05415221,0,1,10.58673051,0.031145672,0.018681085,7.72,6.19,4.43,0,6.05,0.361923308,0.219337547,0.400989408,0,0.017749737,15.50963767,0,1,12.31114011,0,0
AR,2002,17.60479036,0.072163627,0,0.07226146,0,0,10.11998317,0.028340478,0.016786277,7.25,5.68,4.01,0,5.61,0.365784115,0.219186805,0.397806451,0,0.017222629,15.69606699,0,2,12.65238237,0,0
AR,2003,18.51073415,0.052669841,0,0.054550177,0,1,10.16133038,0.029039916,0.017986972,7.24,5.54,4.04,0,5.57,0.361840199,0.24515068,0.393009122,0,0,15.83230339,0,2,13.11818574,0,0
AR,2004,18.90880066,0.070163781,0,0.070791751,0,0,10.50319367,0.031732038,0.016119277,7.36,5.64,4.16,0,5.67,0.357649484,0.245715299,0.396635217,0,0,15.90274614,0,2,13.90239403,0,0
AR,2005,17.21544835,0.064495191,0,0.065074609,0,0,9.644134171,0.03488654,0.01590883,8,6.18,4.74,0,6.3,0.371140942,0.246212866,0.382646192,0,NA,16.62847604,1,2,14.59441884,0,0
AR,2006,18.53299146,0.029721996,0,0.030362725,0,1,10.27786146,0.029119581,0.013580541,8.85,6.96,5.24,0,6.99,0.36592372,0.248319482,0.385756798,0,NA,16.56735881,4,4,15.44904457,0,0
AR,2007,19.21323623,0.059285277,0,0.060071797,0,1,10.66879517,0.028823953,0.014429924,8.73,6.91,5.25,0,6.96,0.37009037,0.25079852,0.379111111,0,NA,16.55932355,4,4,16.25416198,0,0
AR,2008,19.20077681,0.084654901,0,0.085504484,0,0,10.69139712,0.027360757,0.014125428,9.27,7.61,5.89,11.79,7.6,0.37699333,0.253677943,0.369319883,8.84E-06,NA,16.09106661,4,4,16.5979549,0,0
AR,2009,19.89994878,0.072970257,0,0.073963161,0,0,10.53820986,0.026088453,0.012840578,9.14,7.56,5.76,12.32,7.57,0.393428418,0.265834488,0.3407282,8.89E-06,NA,14.95259948,12,4,16.44517543,0,0
AR,2010,20.96056299,0.059982802,0,0.060916553,0,0,11.68919531,0.025448108,0.013912961,8.86,7.31,5.44,11.33,7.28,0.399029906,0.252897309,0.34806407,8.71E-06,NA,16.56026693,16,5,16.72831936,0,0
AR,2011,20.86404509,0.048246026,0,0.049567365,0,0,12.22623884,0.027348278,0.01407112,9.02,7.5,5.63,11.1,7.43,0.391992489,0.253425416,0.354573165,8.93E-06,NA,16.31069278,16,6,17.30452202,0,0
AR,2012,22.04105313,0.033819692,0,0.034903889,0,1,12.28559455,0.028432848,0.012966806,9.3,7.71,5.77,11.23,7.62,0.38219092,0.258262054,0.359537146,9.88E-06,NA,15.8883691,17,6,17.91189064,0,0
AR,2013,20.38772664,0.044009123,0,0.045753382,1,1,NA,NA,NA,9.59,8.05,6.04,11.58,7.93,0.390276412,0.254866747,0.354847909,8.93E-06,NA,15.77787827,18,6,18.22908464,0,0
AZ,2000,17.21667502,0.093923974,0,0.093975499,1,0,8.878993571,0.013215637,0.018182631,8.44,7.34,5.27,0,7.25,0.406411904,0.350248425,0.195896077,0,0.047443593,11.83245217,2,6,14.82360736,0,0
AZ,2001,16.95201597,0.084789869,5.44E-06,0.085228491,0,0,8.863154803,0.012578742,0.016755504,8.3,7.37,5.24,0,7.27,0.420722036,0.354001869,0.182687646,0,0.042588449,11.74129753,4,6,15.38512755,0,0
AZ,2002,17.26720159,0.078902035,4.88E-06,0.079473628,0,0,8.439249803,0.011786358,0.015170031,8.27,7.28,5.2,0,7.21,0.421921774,0.35736148,0.176138166,0,0.044578581,11.48327222,5,7,15.71500574,0,0
AZ,2003,16.88414544,0.074949867,4.18E-06,0.075429431,1,0,8.453036227,0.011283497,0.014807309,8.35,7.09,5.37,0,7.34,0.432923073,0.396765209,0.170311719,0,0,11.46156736,5,8,16.45846741,0,0
AZ,2004,18.15762034,0.066687746,4.08E-05,0.067149309,1,0,9.186111534,0.009537756,0.01355082,8.46,7.28,5.35,0,7.45,0.432081971,0.390036695,0.177881334,0,0,11.62299546,8,9,17.8425836,0,0
AZ,2005,16.98680342,0.063166624,0.000133831,0.063776969,0,1,8.704995338,0.008034356,0.012559822,8.86,7.4,5.85,0,7.79,0.440169233,0.395850662,0.163980105,0,NA,11.61550627,8,10,19.57731156,0,0
AZ,2006,16.86201699,0.065070787,0.000125814,0.065504985,0,0,8.724254146,0.007227442,0.012114708,9.4,8.02,5.69,0,8.24,0.441860046,0.390782583,0.167357371,0,NA,11.8321644,15,12,21.58110982,0,0
AZ,2007,17.82024037,0.058210822,7.63E-05,0.0585782,1,1,8.876298969,0.008080358,0.012376738,9.66,8.27,6.05,0,8.54,0.446109947,0.394791985,0.159098069,0,NA,12.13684236,19,13,22.70099127,0,0
AZ,2008,18.38057658,0.060990729,0.000123256,0.061306402,1,0,9.061109609,0.006763748,0.011293839,10.27,8.93,6.57,0,9.11,0.435784426,0.395476848,0.168738726,0,NA,11.7349572,29,15,22.68686396,0,0
AZ,2009,16.99713843,0.057401744,0.000126327,0.057988323,1,1,8.12484173,0.004991611,0.009354166,10.73,9.35,6.65,0,9.56,0.447304002,0.400170474,0.152525524,0,NA,11.1470548,33,17,21.24021022,0,0
AZ,2010,16.73763668,0.059258195,0.000140974,0.060860696,1,1,8.340049249,0.004998182,0.00857379,10.97,9.47,6.63,0,9.69,0.445514048,0.397387257,0.157098695,0,NA,10.90865642,42,18,21.15498643,0,0
AZ,2011,16.70439961,0.084846814,0.000770855,0.088414543,1,0,8.270792834,0.004589929,0.008154346,11.08,9.5,6.55,0,9.71,0.441385977,0.39379363,0.164820393,0,NA,11.57812218,42,21,22.00090974,0,0
AZ,2012,16.91595513,0.060564757,0.008614968,0.074459127,1,1,7.984709367,0.002961913,0.006973208,11.29,9.53,6.53,0,9.81,0.438602501,0.395562665,0.165834834,0,NA,11.44915207,42,21,23.04221412,0,0
AZ,2013,17.08003576,0.052191542,0.018631552,0.075401903,1,1,NA,NA,NA,11.71,9.85,6.66,0,10.14,0.437483568,0.396983288,0.165533144,0,NA,11.40440877,43,21,23.723759,0,0
CA,2000,6.121084269,0.184223994,0.002370858,0.275198302,1,0,1.994347596,0.003721144,0.004278207,10.89,10.25,7.14,5.8,9.47,0.324680609,0.379818695,0.263507258,0,0.031993438,7.179339069,5,9,18.78119579,1,1
CA,2001,5.759454138,0.128611686,0.002730522,0.220787923,1,1,2.078287667,0.001190891,0.003103874,12.09,12.15,9.23,6.42,11.22,0.309444665,0.389327639,0.254446093,0,0.046781604,7.185214104,10,10,19.06345234,1,1
CA,2002,5.283102853,0.169049578,0.003009456,0.27463227,0,1,1.7213163,0.002006925,0.002574383,12.64,13.36,9.81,6.42,12.19,0.328222467,0.436146051,0.20597355,0,0.029657932,6.745866219,12,12,19.00605332,1,1
CA,2003,5.471260059,0.188655942,0.00276783,0.290659312,1,0,1.598009671,0.000496529,0.003010876,12.23,12.48,9.59,5.8,11.78,0.34094832,0.450526606,0.205199622,0.003325453,0,6.902521581,12,13,19.59677083,1,1
CA,2004,5.480864199,0.175279119,0.002930942,0.278698137,0,1,1.693093353,0.000627802,0.00276412,12.2,11.64,9.27,6.42,11.35,0.330764524,0.471986611,0.193676808,0.003572056,0,7.091680948,17,20,20.76277004,1,1
CA,2005,5.599356043,0.197869636,0.002679642,0.297948646,0,1,1.537538221,0.000716453,0.002410885,12.51,11.92,9.55,6.55,11.63,0.336718096,0.462343178,0.197610173,0.003328553,NA,7.107761165,21,20,21.84358478,1,1
CA,2006,6.030987501,0.221622098,0.00228125,0.31614897,1,0,1.661649567,0.000738216,0.002520261,14.33,12.9,10.09,6.29,12.82,0.341634666,0.461118527,0.1939123,0.003334507,NA,7.315079304,85,23,23.28278748,1,1
CA,2007,5.826787074,0.129609033,0.002641572,0.231283621,1,0,1.744873419,0.000630632,0.002447583,14.42,12.82,9.98,8.37,12.8,0.337421201,0.468107369,0.191262516,0.003208914,NA,7.302149527,95,25,24.54608177,1,1
CA,2008,5.692271538,0.116007864,0.00322371,0.218421295,0,1,1.711876794,0.000105096,0.002257731,13.81,12.54,10.09,8.16,12.49,0.340216455,0.46624607,0.190304967,0.003232508,NA,7.339076038,108,26,24.79640804,1,1
CA,2009,5.55135191,0.136187923,0.003161452,0.24268298,1,1,1.611046119,7.99E-05,0.002255527,14.74,13.27,10.42,8.35,13.24,0.345933883,0.466537068,0.184276426,0.003252624,NA,7.037149894,125,27,23.51821723,1,1
CA,2010,5.477440818,0.163775982,0.00376891,0.271057207,1,1,1.486742338,6.77E-05,0.002135666,14.75,13.09,9.8,8.27,13.01,0.337510714,0.46861594,0.190696843,0.003176502,NA,6.937335094,138,28,23.9611717,1,1
CA,2011,5.326119816,0.211934466,0.004426333,0.330346661,1,0,1.270701682,7.27E-05,0.002158141,14.78,13.05,10.11,8.14,13.05,0.337473629,0.468733756,0.190636985,0.00315563,NA,6.947705369,144,41,24.96514221,1,1
CA,2012,5.241828553,0.134510639,0.006928177,0.265672618,1,1,1.559765524,0.000144629,0.00220604,15.34,13.41,10.49,7.17,13.53,0.34719379,0.46926276,0.180904943,0.002638507,NA,6.818683186,152,42,26.48990614,1,1
CA,2013,5.206085426,0.118727217,0.019061275,0.277593757,1,1,NA,NA,NA,16.19,14.22,10.96,8.54,14.28,0.341531145,0.474031674,0.181241795,0.003195386,NA,6.804981282,154,42,27.49568542,1,1
CO,2000,10.20395552,0.032930987,0,0.033336597,0,1,9.261527393,0.019041526,0.016995446,7.31,5.55,4.25,7.32,5.88,0.326100451,0.418154701,0.231397426,0,0.024347422,9.939355545,0,4,19.96441078,0,0
CO,2001,10.57485654,0.031886188,0,0.034293454,0,0,9.557309534,0.01927053,0.016496649,7.47,5.67,4.48,5.81,6.02,0.327114535,0.404413207,0.24682102,0,0.021651238,9.979301472,0,8,20.5924637,0,0
CO,2002,10.12693157,0.026513086,0,0.030215686,0,1,9.244151802,0.018423974,0.016096798,7.37,5.67,4.52,5.81,6,0.335784837,0.401387967,0.232324632,0,0.030502564,10.20161883,1,8,20.3520655,0,1
CO,2003,10.25499047,0.027076019,0,0.030906806,0,0,9.058512911,0.015495078,0.015930208,8.14,6.6,5.1,7.32,6.77,0.338207529,0.422774042,0.238212788,0.000805641,0,10.22812107,1,8,20.62730597,0,0
CO,2004,10.41620707,0.024956709,0,0.030284403,0,1,8.960697604,0.012838813,0.014558256,8.42,6.89,5.11,5.81,6.95,0.332424896,0.417302079,0.249875412,0.000397613,0,10.16691806,1,10,21.61809214,0,0
CO,2005,10.65712216,0.028524593,0,0.044852021,0,1,8.891677376,0.012458194,0.014394517,9.06,7.62,5.74,5.01,7.64,0.339923082,0.410437018,0.249238955,0.000400945,NA,10.38574522,3,11,22.82369197,0,0
CO,2006,10.67812127,0.035330674,0,0.053008329,1,1,8.935884961,0.012335842,0.013816716,9.02,7.5,5.88,7.78,7.61,0.34084604,0.40521093,0.253446245,0.000496786,NA,10.47494499,24,14,24.41253737,0,0
CO,2007,11.14429191,0.032083351,4.10E-05,0.056659323,1,1,9.007491479,0.012163369,0.013774002,9.25,7.62,5.97,7.18,7.76,0.343751893,0.39976802,0.255616545,0.000863542,NA,10.6050708,29,16,25.99334701,0,0
CO,2008,10.84299191,0.038159921,0.00034344,0.099616097,1,1,8.452467153,0.011135445,0.01271802,10.13,8.57,6.65,8.32,8.59,0.339847537,0.39413006,0.265090649,0.000931755,NA,10.57940774,30,18,26.95799784,1,0
CO,2009,10.08262995,0.037292366,0.000505973,0.101477552,1,0,7.774178066,0.008610701,0.010826385,10,8.15,6.39,8.14,8.31,0.341183911,0.392046788,0.265913727,0.000855574,NA,10.17633672,46,18,25.94589048,1,1
CO,2010,9.954409438,0.031116707,0.000837881,0.101153626,1,1,7.948244945,0.008807317,0.010806607,11.04,9.13,6.9,9.34,9.15,0.342085098,0.37033337,0.286705929,0.000875604,NA,10.38558918,58,19,26.28990635,1,1
CO,2011,10.04608586,0.040492273,0.002034431,0.144832376,1,1,7.717197291,0.008306995,0.009973707,11.27,9.44,7.06,9.79,9.39,0.341888989,0.372051423,0.28511603,0.000943558,NA,10.44176265,64,19,27.39173925,1,1
CO,2012,10.12319855,0.0284875,0.00314801,0.146299575,1,1,7.690295623,0.007486745,0.00866651,11.46,9.39,6.95,9.69,9.39,0.339392087,0.372489809,0.287140723,0.000977381,NA,10.34058284,70,20,28.91109996,1,1
CO,2013,10.04107975,0.022911423,0.004693314,0.165217012,1,1,NA,NA,NA,11.93,9.86,7.34,10.55,9.88,0.346712879,0.376077804,0.27605546,0.001153857,NA,10.13671799,70,20,29.94198407,1,1
CT,2000,9.663641219,0.015964537,0,0.081275235,0,0,3.708614612,0.015160753,0.005516918,10.86,9.27,7.32,7.72,9.52,0.388799605,0.398377299,0.193997497,0,0.018825599,8.779819528,3,4,22.92125149,1,0
CT,2001,8.894475944,0.009392159,0,0.039202088,0,0,3.329153397,0.009627651,0.004527948,10.9,9.26,7.62,7.72,9.62,0.392086437,0.40739683,0.182452381,0,0.018064352,8.909094197,3,5,23.66838311,1,1
CT,2002,9.080598119,0.010701851,0,0.036933535,0,1,3.010601062,0.003457801,0.002940132,10.96,9.32,7.68,7.25,9.71,0.402277577,0.406832448,0.173206073,0,0.017683901,8.991933054,3,5,23.40207873,1,0
CT,2003,8.518550341,0.019103572,0,0.045702309,0,0,2.779032148,0.002370024,0.002896792,11.31,9.93,7.99,7.72,10.16,0.414019659,0.411358603,0.168579367,0.006042371,0,9.177419378,3,5,23.87236194,1,1
CT,2004,9.39258728,0.014176025,0,0.037230987,0,0,2.995080848,0.001876882,0.002674435,11.63,9.9,7.89,7.25,10.26,0.410105539,0.417656926,0.166337479,0.005900056,0,9.272048329,3,7,25.20352888,1,0
CT,2005,9.648536676,0.014253431,0,0.036489694,0,1,3.353630882,0.002231403,0.003025436,13.64,11.53,9.4,8.78,12.06,0.417070552,0.421493723,0.155701208,0.005734517,NA,9.517764801,4,7,26.30298027,1,0
CT,2006,9.953057097,0.015682375,0,0.0374453,0,0,3.205166779,0.001550854,0.002569356,16.86,14.03,11.71,14.55,14.83,0.40923328,0.429675833,0.155504327,0.00558656,NA,9.090879949,9,10,27.68364822,1,0
CT,2007,9.509865301,0.010951093,0,0.03290278,0,1,2.999758607,0.001507705,0.002429701,19.11,15.39,12.92,14.18,16.45,0.391808962,0.443201019,0.159201148,0.005788871,NA,9.784485408,10,12,29.50579187,1,1
CT,2008,8.681812757,0.018289597,0,0.04235713,0,0,2.698158887,0.001105444,0.002128951,19.54,17.12,14.93,15.44,17.8,0.41121173,0.441429735,0.141206913,0.006151623,NA,8.837999877,14,12,29.75282471,1,1
CT,2009,8.878454296,0.016328346,0,0.040621835,0,0,2.289185297,0.000529756,0.001844473,20.33,16.87,14.99,11.95,18.07,0.423284591,0.446138386,0.124244458,0.006332565,NA,8.454405424,15,12,28.20091303,1,0
CT,2010,9.455690022,0.011714285,0,0.033880833,0,1,2.608882438,0.000576137,0.00201081,19.25,16.45,14.51,11.53,17.38,0.429895222,0.441820261,0.122169669,0.006114847,NA,8.617042493,21,13,28.68203749,1,0
CT,2011,9.398377179,0.016815477,0,0.036340405,0,0,2.282673316,0.000245089,0.001709772,18.11,15.57,13.24,10.25,16.35,0.432660137,0.43829375,0.12285133,0.006194784,NA,8.316024316,23,14,29.78088973,1,0
CT,2012,10.048388,0.008642365,0,0.027076315,0,1,2.500329405,0.002018995,0.003269009,17.34,14.65,12.67,9.69,15.54,0.432574488,0.439980377,0.120910862,0.006534273,NA,8.205166313,28,14,30.5641485,1,0
CT,2013,9.89369693,0.011286692,0,0.029477836,1,1,NA,NA,NA,17.55,14.63,12.61,10.31,15.66,0.440424616,0.436188235,0.117022519,0.00636463,NA,8.286104595,29,14,30.88559627,1,0
DE,2000,7.61358287,0,0,0.003146247,0,0,7.730806938,0.04835984,0.015775346,8.54,5.89,3.73,0,6.08,0.317079656,0.359194681,0.319387385,0,0.004338278,14.33627452,0,2,19.90826495,1,1
DE,2001,8.563620033,0,0,0,0,0,7.652598767,0.045519615,0.016232386,8.61,7,4.81,0,6.8,0.328158514,0.316860225,0.349561713,0,0.005419547,14.31356531,2,3,20.82845234,1,1
DE,2002,7.459881238,0,0,0,0,0,7.543649551,0.038688301,0.014256136,8.7,7.15,4.85,0,6.91,0.334503451,0.31513186,0.345380304,0,0.004984385,14.93685841,2,4,21.28360272,1,1
DE,2003,9.064451734,0,0,0,0,0,8.664229791,0.044177677,0.016161368,8.59,7.31,5.15,0,6.96,0.332581457,0.308435909,0.358982634,0,0,15.44966739,2,4,22.05566767,1,1
DE,2004,9.497086395,0,0,0,0,0,7.971513164,0.041900299,0.015708079,8.78,7.44,6.06,0,7.53,0.365995834,0.342944267,0.291059899,0,0,14.21881899,2,4,23.38812869,1,1
DE,2005,9.682978379,0,0,0,0,1,8.185626256,0.037214267,0.016139551,9.01,7.6,6.21,0,7.76,0.378519341,0.34916627,0.272314388,0,NA,14.44346754,2,5,24.85160672,1,1
DE,2006,8.416934939,0,0,5.81E-05,0,1,6.972008705,0.035215006,0.013180578,11.85,10.21,7.67,0,10.13,0.368564162,0.36314367,0.268292168,0,NA,13.54114433,2,7,26.03877841,1,1
DE,2007,9.862504247,0,0,0.005638046,0,1,8.435164576,0.038907264,0.014854723,13.16,11.21,8.93,0,11.35,0.376585268,0.364041298,0.259373433,0,NA,13.71618857,4,9,26.68038458,1,1
DE,2008,8.581079478,0,0,0.021714314,0,1,7.523948613,0.03647379,0.013057799,13.93,12.1,10.49,0,12.38,0.376906612,0.369303612,0.253789776,0,NA,13.39970734,4,9,26.83362898,1,1
DE,2009,5.476113079,0,0,0.025944308,0,0,4.686277038,0.017756559,0.006576001,14.07,12.03,9.51,0,12.2,0.38505929,0.371737123,0.243203588,0,NA,12.73325687,4,11,25.6740953,1,1
DE,2010,6.312812407,0,0,0.024556808,1,0,4.697109474,0.01475326,0.005400106,13.8,11.36,9.57,0,11.97,0.410132767,0.372225169,0.217642064,0,NA,13.01895758,5,12,25.99739451,1,1
DE,2011,7.259291122,0,0.001256412,0.023950278,1,0,4.327114468,0.009298007,0.004614305,13.7,10.64,8.91,0,11.48,0.403376696,0.370959871,0.225663433,0,NA,12.64918393,5,12,27.15430236,1,1
DE,2012,9.416373553,0,0.002612902,0.015179018,1,0,5.432604667,0.002647017,0.003097458,13.58,10.13,8.36,0,11.06,0.392529913,0.368339793,0.239130293,0,NA,12.56360531,5,12,28.03900221,1,1
DE,2013,8.387943669,0,0.005763149,0.013726827,1,1,NA,NA,NA,12.95,10.2,8.43,0,10.9,0.402720391,0.366394586,0.230885024,0,NA,12.26477022,5,12,28.76388481,1,1
FL,2000,11.95401164,0.000452356,0,0.019383603,0,0,7.787642554,0.038798408,0.019430146,7.77,6.25,4.84,7.21,6.91,0.505535644,0.36830483,0.096423468,0,0.029736058,12.20498378,1,4,14.40721187,0,1
FL,2001,11.67790864,0.000773614,0,0.011046297,0,1,7.556824945,0.033493144,0.018306233,8.59,7.08,5.18,7.21,7.67,0.50498639,0.368402736,0.098899333,0,0.027711541,12.277676,1,6,15.10134937,0,1
FL,2002,12.19494756,0.000905392,0,0.011659556,0,1,7.52217873,0.02753184,0.01609861,8.16,6.64,5.23,7.45,7.31,0.513907022,0.36850881,0.090079323,0,0.027504846,12.6219751,2,6,15.63589342,0,1
FL,2003,12.52549747,0.00123544,0,0.011882611,0,0,7.659300595,0.02760829,0.015431205,8.55,7.13,5.41,7.21,7.72,0.518219611,0.392203922,0.089129349,0.000447118,0,12.80643073,2,7,16.48486073,0,1
FL,2004,12.55979682,0.001216122,0,0.011693239,0,0,7.55018571,0.025515367,0.014420295,8.99,7.61,5.84,7.45,8.16,0.513316429,0.396941381,0.089292935,0.000449254,0,12.5866629,2,7,17.79190052,0,1
FL,2005,12.39255082,0.001208405,0,0.011673281,0,0,7.401182482,0.023204425,0.012784914,9.62,8.16,6.46,8.03,8.76,0.514681293,0.397419632,0.087459358,0.000439716,NA,12.65815155,3,7,19.31503399,0,1
FL,2006,12.37813413,0.000909142,0,0.011419461,0,0,7.063501111,0.018208587,0.011706781,11.33,9.91,7.71,10.32,10.45,0.512896498,0.400053455,0.086617498,0.000432548,NA,12.62530351,16,8,20.71965434,0,1
FL,2007,12.3433838,0.00068516,0,0.011212444,0,1,7.054056336,0.017658597,0.011107652,11.22,9.75,7.76,9.73,10.33,0.509840141,0.406480138,0.083263852,0.000415869,NA,12.653783,22,8,21.37272908,0,1
FL,2008,11.93014355,0.000938631,0,0.011565843,1,1,6.575279053,0.01471594,0.009245778,11.65,10.14,8.25,10.18,10.74,0.503760755,0.41209703,0.083763023,0.000379192,NA,12.2851621,35,10,21.1173476,1,1
